 Message (if any),رسالة (اختياري)
'Update Stock' cannot be checked for fixed asset sale,لا يمكن التحقق من ' تحديث المخزون ' لبيع الأصول الثابتة\n<br>\n'Update Stock' cannot be checked for fixed asset sale
"""{0}"" cannot be added to cart. Bundle is out of stock. Allow Negative Stock is disabled.","تعذرت إضافة ""{0}"". رصيد المجموعة لا يسمح."
"""{0}"" cannot be added to cart. Item is out of stock. Allow Negative Stock is disabled.","تعذرت إضافة ""{0}"". رصيد الصنف لا يسمح."
"""{0}"" is not a valid Google Sheets URL",&quot;{0}&quot; ليس عنوان URL صالحًا لجداول بيانات Google
"""{0}"" is not available in warehouse ""{1}"". Please select another warehouse.","""{0}"" غير متوفر في المستودع ""{1}"". يرجى اختيار مستودع آخر."
"""amended_from"" field must be present to do an amendment.",يجب أن يكون الحقل &quot;amended_from&quot; حاضرًا لإجراء تعديل.
"""Company History""","""نبذة عن الشركة"""
"""Customer Provided Item"" cannot be Purchase Item also","""الأصناف المقدمة من العملاء"" لا يمكن شرائها"
"""Customer Provided Item"" cannot have Valuation Rate","""الأصناف المقدمة من العملاء"" لا يمكن ان تحتوي على تكلفة"
"""From date"" can not be greater than or equal to ""To date""",لا يمكن أن يكون &quot;من تاريخ&quot; أكبر من أو يساوي &quot;حتى الآن&quot;
"""From Date"" can not be greater than or equal to ""To Date""","لا يمكن أن يكون ""من التاريخ"" أكبر من أو يساوي ""حتى الآن"""
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""اصل ثابت"" لا يمكن أن يكون غير محدد، حيث يوجد سجل أصول مقابل البند"
"""Parent"" signifies the parent table in which this row must be added","""الأم"" يدل على الجدول الأصل الذي يجب أن يضاف هذا الصف"
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" لـ ""SN-01"" إلى ""SN-10"""
"""Team Members"" or ""Management""","""أعضاء الفريق"" أو ""الإدارة"""
({0}) expenses waiting to sync,({0}) مصروفات في انتظار المزامنة
(A) Qty After Transaction,الكَمَيَّة بعد العملية (أ).
(B) Expected Qty After Transaction,(ب) الكَمَيَّة المتوقعة بعد العملية
(C) Total qty in queue,(ج) إجمالي الكمية في قائمة الانتظار
(C) Total Qty in Queue,(ج) إجمالي الكمية في قائمة الانتظار
(Ca+Mg)/K,(الكالسيوم +المغنيسيوم ) / ك
(D) Balance Stock Value,(د) قيمة المخزون المتبقي
(E) Balance Stock Value in Queue,(هـ) قيمة المخزون المتبقي في الطابور
(F) Change in Stock Value,(و) التغيير في قيمة المخزون
(Forecast),(توقعات)
(FREE),(مجاني)
(G) Sum of Change in Stock Value,(ز) مجموع التغير في قيمة الأسهم
(H) Change in Stock Value (FIFO Queue),(ح) التغيير في قيمة المخزون (طابور FIFO)
(H) Valuation Rate,(ح) معدل التقييم
(Hour Rate / 60) * Actual Operation Time,(سعر الساعة / 60) * وقت العمل الفعلي
(I) Valuation Rate,(ط) معدل التقييم
(including),(تتضمن)
(J) Valuation Rate as per FIFO,(ي) معدل التقييم حسب FIFO
(K) Valuation = Value (D) ÷ Qty (A),(ك) التقييم = القيمة (د) ÷ الكَمَيَّة (أ)
(Mandatory),(إلزامي)
(Max Discount: {0}),(الحد الأقصى للخصم: {0})
(Min: {0}),(الحد الأدنى: {0})
(Purchase Order + Material Request + Actual Expense),(أمر الشراء + طلب المواد + المصروف الفعلي)
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,(الرقم التسلسلي: {0}) لا يمكن استهلاكه لأنه محجوز لملء طلب المبيعات {1}.
) for {0},) لـ {0}
[{0}](#Form/Item/{0}) is out of stock,[{0}] (# نموذج / البند / {0}) انتهى من المخزن
[Action taken by {0}],[الإجراء اتخذه {0}]
[Error],[خطأ]
[Important] [ERPNext] Auto Reorder Errors,[هام] [ERPNext] إعادة ترتيب الأخطاء تلقائيًا
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}} غير صالح كأسم حقل. يجب أن يكون {{field_name}}.
{},{}
{}  Available,{}  متاح
{}  To Deliver,{}  للتسليم
{}  To Receive,{}  للاستلام
{} {} is already linked with {} {},{} {} مرتبط بالفعل بـ {} {}
{} {} is already linked with another {},{} {} مرتبط بالفعل بـ {} آخر
{} {} is not affecting bank account {},{} {} لا يؤثر على الحساب البنكي {}
{} {} open for this position.,{} {} مفتوح لهذا المنصب.
{} Accepted,{} مقبول
{} Active,{} نشط
{} Assets created for {},{} Assets created for {}
{} Assets created for {},{} الأصول المنشأة لـ {}
{} Assigned,{} تم تحديد المهمة
{} Available,{} متاح
{} can't be cancelled since the Loyalty Points earned has been redeemed. First cancel the {} No {},لا يمكن إلغاء {} نظرًا لاسترداد نقاط الولاء المكتسبة. قم أولاً بإلغاء {} لا {}
{} Complete,{} اكتمال
{} does not support automated log clearing.,{} لا يدعم مسح السجل التلقائي.
{} Draft,{} مسودة
{} field cannot be empty.,لا يمكن أن يكون حقل {} فارغًا.
{} has been disabled. It can only be enabled if {} is checked.,تم تعطيل {}. لا يمكن تمكينه إلا إذا تم تحديد {}.
{} has submitted assets linked to it. You need to cancel the assets to create purchase return.,قام {} بتقديم أصول مرتبطة به. تحتاج إلى إلغاء الأصول لإنشاء عائد شراء.
{} Invalid python code on line {},{} كود بايثون غير صالح في السطر {}
{} is a child company.,{} هي شركة تابعة.
{} is an invalid Attendance Status.,{} هي حالة حضور غير صالحة.
{} is not a valid date string.,{} ليست سلسلة تاريخ صالحة.
{} is required to generate E-Way Bill JSON,{} مطلوب لإنشاء E-Way Bill JSON
{} not found in PATH! This is required to access the console.,لم يتم العثور على {} في المسار! هذا مطلوب للوصول إلى وحدة التحكم.
{} not found in PATH! This is required to restore the database.,لم يتم العثور على {} في المسار! هذا مطلوب لاستعادة قاعدة البيانات.
{} not found in PATH! This is required to take a backup.,لم يتم العثور على {} في المسار! هذا مطلوب لإجراء نسخة احتياطية.
{} of {},{} من {}
{} Open,{} مفتوحة
{} Pending,{} معلق
"{} Possibly invalid python code. , {}","{} ربما كود بايثون غير صالح. , {}"
{} Possibly invalid python code. <br>{},{} ربما كود بايثون غير صالح. <br>{}
{} Published,{} نشرت
{} To Bill,{} للفوترة
{} Unclaimed,{} لم تتم المطالبة به
{0},{0}
{0}  This error can be due to missing or deleted field.,{0} <br> قد يكون هذا الخطأ بسبب حقل مفقود أو محذوف.
{0} - {1} is inactive student,{0} - {1} طالب غير نشط
{0} - {1} is not enrolled in the Batch {2},{0} - {1} غير مسجل في الدفعة {2}
{0} - {1} is not enrolled in the Course {2},{0} - {1} غير مسجل في الدورة {2}
{0} - {1} of {2},{0} - {1} من {2}
{0} '{1}' is disabled,{0} '{1}' معطل
{0} '{1}' not in Fiscal Year {2},{0} '{1}' ليس في السنة المالية {2}
{0} ({1}),{0} ({1})
{0} ({1}) - {2}%,{0} ({1}) - {2}%
{0} ({1}) (1 row mandatory),{0} ({1}) (صف واحد إلزامي)
{0} ({1}) added to cart,تمت إضافة {0} ({1}) للسلة
{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3},{0} ({1}) لا يمكن أن يكون أكبر من الكمية المخطط لها ({2}) في أمر العمل {3}
{0} {1},{0} {1}
{0} {1} {2}?,{0} {1} {2}؟
{0} {1} added,تمت إضافة {0} {1}
{0} {1} added to Dashboard {2},تمت إضافة {0} {1} إلى لوحة التحكم {2}
{0} {1} already exists,{0} {1} موجود بالفعل
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""","{0} {1} لا يمكن أن يكون {{}}. يجب أن تكون واحدة من ""{3}"""
{0} {1} cannot be a leaf node as it has children,{0} {1} لا يمكن أن يكون تفريعة لأن لديه تفريعات أخرى
"{0} {1} cannot be updated. If you need to make changes, we recommend canceling the existing entry and creating a new one.",لا يمكن تحديث {0} {1}. إذا كنت بحاجة إلى إجراء تغييرات، نوصي بإلغاء القيد الحالي وإنشاء قيد جديد.
{0} {1} created,{0} {1} إنشاء
{0} {1} does not exist,{0} {1} غير موجود\n<br>\n{0} {1} does not exist
"{0} {1} does not exist, select a new target to merge",{0} {1} غير موجود ، حدد هدفا جديدا لدمج
{0} {1} has accounting entries in currency {2} for company {3}. Please select a receivable or payable account with currency {2}.,{0} يحتوي {1} على إدخالات محاسبية بالعملة {2} للشركة {3}. الرجاء تحديد حساب مستحق أو دائن بالعملة {2}.
{0} {1} has already been fully paid.,تم دفع {0} {1} بالكامل بالفعل.
{0} {1} has already been partly paid. Please use the 'Get Outstanding Invoice' or the 'Get Outstanding Orders' button to get the latest outstanding amounts.,تم دفع {0} {1} جزئيًا بالفعل. يرجى استخدام زر 'الحصول على الفواتير المستحقة' أو 'الحصول على الطلبات المستحقة' للحصول على أحدث المبالغ المستحقة.
{0} {1} has been added to all the selected topics successfully.,تمت إضافة {0} {1} إلى كافة الموضوعات المحددة بنجاح.
{0} {1} has been modified. Please refresh.,تم تعديل {0} {1}، يرجى تحديث الصفحة من المتصفح
{0} {1} has not been submitted so the action cannot be completed,{0} {1} لم يتم إرسالها، ولذلك لا يمكن إكمال الإجراء
{0} {1} is {2},{0} {1} is {2}
{0} {1} is {2},{0} {1} هو {2}
{0} {1} is allocated twice in this Bank Transaction,تم تخصيص {0} {1} مرتين في هذه المعاملة البنكية
{0} {1} is already linked to Common Code {2}.,{0} {1} مرتبط بالفعل بالرمز المشترك {2}.
"{0} {1} is associated with {2}, but Party Account is {3}",{0} {1} مرتبط ب {2}، ولكن حساب الطرف هو {3}
{0} {1} is cancelled or closed,{0} {1} تم إلغائه أو مغلق
{0} {1} is cancelled or stopped,{0} {1} يتم إلغاؤه أو إيقافه\n<br>\n{0} {1} is cancelled or stopped
{0} {1} is cancelled so the action cannot be completed,{0} {1} تم إلغاؤه لذلك لا يمكن إكمال الإجراء
{0} {1} is closed,{0} {1} مغلقة
{0} {1} is disabled,{0} {1} معطل
{0} {1} is frozen,{0} {1} مجمد
{0} {1} is fully billed,{0} {1} قدمت الفواتير بشكل كامل
{0} {1} is linked with the following submitted documents: {2},{0} {1} مرتبط بالمستندات المرسلة التالية: {2}
{0} {1} is not active,{0} {1} غير نشطة
{0} {1} is not associated with {2} {3},{0} {1} غير مرتبط {2} {3}
{0} {1} is not in any active Fiscal Year,{0} {1} ليس في أي سنة مالية نشطة
{0} {1} is not present in the parent company,{0} {1} غير موجود في الشركة الأم
{0} {1} is not submitted,{0} {1} لم يتم تقديمه
{0} {1} is on hold,{0} {1} قيد الانتظار
{0} {1} Manually,{0} {1} يدويًا
{0} {1} must be submitted,{0} {1} يجب أن يتم اعتماده\n<br>\n{0} {1} must be submitted
{0} {1} not allowed to be reposted. Modify {2} to enable reposting.,غير مسموح بإعادة معالجة {0} {1}. قم بتعديل {2} لتمكين إعادة المعالجة.
{0} {1} not found,{0} {1} غير موجود
{0} {1} not in any active Fiscal Year.,{0} {1} ليس في أي سنة مالية نشطة.
{0} {1} Partially Reconciled,تمت تسوية {0} {1} جزئيًا
{0} {1} status is {2},{0} {1} الحالة {2}
{0} {1} via CSV File,{0} {1} عبر ملف CSV
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,"{0} {1}: نوع حساب ""الربح والخسارة"" {2} غير مسموح به في قيد افتتاحي"
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: الحساب {2} لا ينتمي إلى الشركة {3}
{0} {1}: Account {2} is a Group Account and group accounts cannot be used in transactions,{0} {1}: الحساب {2} هو حساب مجموعة ولا يمكن استخدام حسابات المجموعة في المعاملات
{0} {1}: Account {2} is inactive,{0} {1}: الحساب {2} غير فعال \n<br>\n{0} {1}: Account {2} is inactive
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: قيد محاسبي ل {2} يمكن ان يتم فقط بالعملة : {3}
{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: مركز التكلفة {2} لا ينتمي إلى الشركة {3}
{0} {1}: Cost Center {2} is a group cost center and group cost centers cannot be used in transactions,{0} {1}: مركز التكلفة {2} هو مركز تكلفة مجموعة ولا يمكن استخدام مراكز تكلفة المجموعة في المعاملات
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: مركز التكلفة إلزامي للبند {2}
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}.,{0} {1}: مركز التكلفة مطلوب لحساب 'الأرباح والخسائر' {2}.
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}: مركز التكلفة مطلوب لحساب ' الربح والخسارة ' {2}. الرجاء اعداد مركز التكلفه الافتراضي للشركة.\n<br>\n{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.
{0} {1}: Customer is required against Receivable account {2},{0} {1}: الزبون مطلوب بالمقابلة بالحساب المدين {2}
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: إما مبلغ دائن أو مدين مطلوب ل{2}
{0} {1}: Submitted Record cannot be deleted. You must {2} Cancel {3} it first.,{0} {1}: لا يمكن حذف السجل المقدم. يجب عليك {2} إلغاء {3} أولاً.
{0} {1}: Supplier is required against Payable account {2},{0} {1}: المورد مطلوب لحساب الدفع {2}\n<br> \n{0} {1}: Supplier is required against Payable account {2}
{0} **{1}** has submitted Assets. Remove Item **{2}** from table to continue.,{0} **{1}** قام بتقديم أصول. قم بإزالة الصنف **{2}** من الجدول للمتابعة.
{0} & {1},{0} و {1}
{0} & {1} more,{0} و {1} إضافي
{0} <b>{1}</b> has submitted Assets. Remove Item <b>{2}</b> from table to continue.,{0} <b>{1}</b> قام بتقديم أصول. قم بإزالة الصنف <b>{2}</b> من الجدول للمتابعة.
{0} = {1},{0} = {1}
"{0} ${skip_list ? """" : type}","{0} ${skip_list ? """" : type}"
{0} ${type},{0} ${type}
{0} account is not of type {1},حساب {0} ليس من نوع {1}
{0} Account not found against Customer {1}.,لم يتم العثور على حساب {0} مقابل العميل {1}.
{0} account not found while submitting purchase receipt,لم يتم العثور على حساب {0} أثناء تقديم إيصال الشراء
{0} Account: {1} ({2}) must be in either customer billing currency: {3} or Company default currency: {4},حساب {0}: {1} ({2}) يجب أن يكون إما بعملة فوترة العميل: {3} أو عملة الشركة الافتراضية: {4}
{0} added,{0} أضيف
{0} added {1} rows to {2},{0} added {1} rows to {2}
{0} added {1} rows to {2},{0} added {1} rows to {2}
{0} added 1 row to {1},{0} added 1 row to {1}
{0} added 1 row to {1},{0} added 1 row to {1}
{0} added to cart,تمت إضافة {0} للسلة
{0} against Bill {1} dated {2},{0} مقابل الفاتورة {1} بتاريخ {2}
{0} against Purchase Order {1},{0} مقابل أمر الشراء {1}
{0} against Sales Invoice {1},{0} مقابل فاتورة المبيعات {1}
{0} against Sales Order {1},{0} مقابل طلب مبيعات {1}
{0} already allocated for Employee {1} for period {2} to {3},{0} تم تخصيصه بالفعل للموظف {1} للفترة {2} إلى {3}
{0} already exists for employee {1} and period {2},{0} موجود بالفعل للموظف {1} والمدة {2}
{0} already exists. Select another name,{0} موجود بالفعل. حدد اسما آخر
{0} already has a Parent Procedure {1}.,{0} يحتوي بالفعل على إجراء الأصل {1}.
{0} already has an active Shift Assignment {1} for some/all of these dates.,{0} لديه بالفعل تعيين مناوبة نشط {1} لبعض/كل هذه التواريخ.
{0} already unsubscribed,{0} غير مشترك أصلاً
{0} already unsubscribed for {1} {2},{0} تم إلغاء الاشتراك في {1} {2}
{0} Amount,المبلغ {0}
{0} and {1},{0} و {1}
{0} and {1} are mandatory,{0} و {1} إلزاميان
{0} applicable after {1} working days,{0} صالح بعد {1} أيام عمل
{0} applied successfully,تم تطبيق {0} بنجاح
{0} Appraisal(s) are not submitted yet,{0} تقييم (تقييمات) لم يتم تقديمه بعد
{0} appreciated {1},{0} موضع تقدير {1}
{0} appreciated {1},{0} موضع تقدير {1}
{0} appreciated on {1},{0} موضع تقدير في {1}
{0} appreciated on {1},{0} موضع تقدير في {1}
{0} appreciated your work on {1} with {2} point,{0} قدر عملك على {1} بنقطة {2}
{0} appreciated your work on {1} with {2} point,{0} قدر عملك على {1} بنقطة {2}
{0} appreciated your work on {1} with {2} points,{0} قدر عملك على {1} بنقاط {2}
{0} appreciated your work on {1} with {2} points,{0} قدر عملك على {1} بنقاط {2}
{0} appreciation point for {1},{0} appreciation point for {1}
{0} appreciation point for {1},{0} appreciation point for {1}
{0} appreciation points for {1},{0} appreciation points for {1}
{0} appreciation points for {1},{0} appreciation points for {1}
{0} are currently {1},{0} حاليًا {1}
{0} are required,{0} مطلوبة
{0} as on {1},{0} في {1}
{0} asset cannot be transferred,{0} أصول لا يمكن نقلها
{0} assigned {1}: {2},{0} تعيين {1}: {2}
{0} assigned a new task {1} {2} to you,{0} خصص مهمة جديدة {1} {2} لك
{0} attached {1},أرفق {0} {1}
{0} balance,رصيد {0}
{0} bank transaction(s) created,تم إنشاء {0} معاملة (معاملات) مصرفية
{0} bank transaction(s) created and {1} errors,{0} تم إنشاء معاملة (معاملات) مصرفية وأخطاء {1}
{0} Budget for Account {1} against {2} {3} is {4}. It {5} exceed by {6},ميزانية {0} للحساب {1} مقابل {2} {3} هي {4}. تتجاوز {5} بمقدار {6}
{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5},{0} Budget for Account {1} against {2} {3} is {4}. It will exceed by {5}
{0} Calendar,{0} التقويم
{0} can be enabled/disabled after all the POS Opening Entries are closed.,يمكن تمكين/تعطيل {0} بعد إغلاق جميع قيود فتح نقاط البيع.
{0} can not be greater than {1},{0} لا يمكن أن يكون أكبر من {1}
{0} can not be more than {1},لا يمكن أن يكون {0} أكثر من {1}
{0} can not be negative,{0} لا يمكن أن يكون سالبا
{0} cancelled this document,ألغى {0} هذا المستند
{0} cancelled this document {1},ألغى {0} هذا المستند {1}
{0} cannot be amended because it is not cancelled. Please cancel the document before creating an amendment.,لا يمكن تعديل {0} لأنه لم يتم إلغاؤه. يرجى إلغاء المستند قبل إنشاء تعديل.
{0} cannot be hidden and mandatory without any default value,لا يمكن إخفاء {0} وجعله إلزاميًا بدون أي قيمة افتراضية
{0} cannot be used as a Main Cost Center because it has been used as child in Cost Center Allocation {1},لا يمكن استخدام {0} كمركز تكلفة رئيسي لأنه تم استخدامه كفرع في تخصيص مركز التكلفة {1}
{0} cannot be zero,لا يمكن أن يكون {0} صفرًا
{0} changed {1} to {2},غير {0} {1} إلى {2}
{0} changed the value of {1},غير {0} قيمة {1}
{0} changed the value of {1} {2},غير {0} قيمة {1} {2}
{0} changed the values for {1},غير {0} القيم لـ {1}
{0} changed the values for {1} {2},غير {0} القيم لـ {1} {2}
{0} Chart,{0} الرسم البياني
{0} comments,{0} تعليقات
{0} completed {1} year(s),أكمل {0} {1} سنة (سنوات)
"{0} contains an invalid Fetch From expression, Fetch From can't be self-referential.","يحتوي {0} على تعبير ""جلب من"" غير صالح، لا يمكن أن يكون ""جلب من"" مرجعيًا ذاتيًا."
{0} conversations,{0} محادثات
{0} Coupon used are {1}. Allowed quantity is exhausted,{0} القسيمة المستخدمة هي {1}. الكمية المسموح بها مستنفدة
{0} Created,تم إنشاء {0}
{0} created,{0} تم انشاؤه
{0} created and selected,تم إنشاء {0} وتحديده
{0} created successfully,تم إنشاء {0} بنجاح
{0} created successfully!,تم إنشاء {0} بنجاح!
{0} created this,أنشأ {0} هذا
{0} created this document {1},{0} created this document {1}
{0} created this document {1},{0} created this document {1}
{0} creation for the following records will be skipped.,{0} creation for the following records will be skipped.
{0} creation for the following records will be skipped.,{0} creation for the following records will be skipped.
{0} criticism point for {1},{0} criticism point for {1}
{0} criticism point for {1},{0} criticism point for {1}
{0} criticism points for {1},{0} criticism points for {1}
{0} criticism points for {1},{0} criticism points for {1}
{0} criticized {1},{0} انتقد {1}
{0} criticized {1},{0} انتقد {1}
{0} criticized on {1},{0} انتقد يوم {1}
{0} criticized on {1},{0} انتقد يوم {1}
{0} criticized your work on {1} with {2} point,{0} انتقد عملك على {1} بنقطة {2}
{0} criticized your work on {1} with {2} point,{0} انتقد عملك على {1} بنقطة {2}
{0} criticized your work on {1} with {2} points,{0} انتقد عملك على {1} بـ {2} نقاط
{0} criticized your work on {1} with {2} points,{0} انتقد عملك على {1} بـ {2} نقاط
{0} currency must be same as company's default currency. Please select another account.,يجب أن تكون عملة {0} هي نفس عملة الشركة الافتراضية. يرجى تحديد حساب آخر.
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.",{0} لديها حاليا {1} بطاقة أداء بطاقة الموردين، ويجب إصدار أوامر الشراء إلى هذا المورد بحذر.
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0} لديه حاليا {1} بطاقة أداء بطاقة الموردين، ويجب أن يتم إصدار طلبات إعادة الشراء إلى هذا المورد بحذر.
{0} d,{0} د
{0} Dashboard,{0} لوحة المعلومات
{0} days ago,قبل {0} أيام
{0} deleted successfully!,تم حذف {0} بنجاح!
{0} Digest,{0} الملخص
{0} does not belong to Company {1},{0} لا تنتمي إلى شركة {1}
{0} does not belong to the Company {1}.,{0} does not belong to the Company {1}.
{0} does not belong to the Company {1}.,{0} does not belong to the Company {1}.
{0} does not exist in row {1},{0} غير موجود في الصف {1}
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner,{0} ليس لديه جدول ممارس رعاية صحية. أضفه في ممارس الرعاية الصحية
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner master,{0} ليس لديه جدول ممارسة للرعاية الصحية.\n إضافة جدول في ممارسة الرعاية الصحية الرئيسي
{0} entered twice {1} in Item Taxes,تم إدخال {0} مرتين {1} في ضرائب الصنف
{0} entered twice in Item Tax,{0} ادخل مرتين في ضريبة البند
{0} expenses failed to sync,فشلت مزامنة {0} مصروفات
{0} expenses synced successfully,تمت مزامنة {0} مصروفات بنجاح
{0} failed,فشل {0}
{0} failed!,فشل {0}!
{0} Field,حقل {0}
"{0} field cannot be set as unique in {1}, as there are non-unique existing values",لا يمكن أن يحتوي اسم الحقل {0} على أحرف خاصة مثل {1}
{0} Fields,{0} الحقول
{0} for {1},{0} ل {1}
{0} format could not be determined from the values in this column. Defaulting to {1}.,تعذر تحديد تنسيق {0} من القيم الموجودة في هذا العمود. يتم الافتراضي إلى {1}.
{0} free item(s) included,يتضمن {0} منتج(منتجات) مجانية
